,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,0.51521605,-0.15910953,0.2670279,0.8427667,-0.26174048,0.10549163,0.10806391,0.08608846,-0.09056506,-0.31654143,-0.27223498,0.056336265,-0.11199123,-0.26439565,0.4880409,-0.26295847,-0.04703363,0.18903133,-0.23398685,-0.7838199,-0.5906566,-0.07045313,0.86418253,1.4021676,1.4305308,-0.19166768,0.89049214,0.5025983,-0.17315069,0.2906887,0.57147384,0.76235235,0.25892958,-0.5195157,-0.13092722,0.39028126,-0.1824503,0.18306406,0.39049396,1.9147291,-0.30790526,0.31908637,0.24573863,-0.5663797,-0.8238087,0.0019422122,1.5880854,1.9175274
11,-0.53150725,-1.3233153,-0.46792403,-0.22673352,-0.44519958,-0.6480233,-1.092695,-1.3045192,-1.4052296,-1.2855651,-1.1950711,-1.0340515,-1.0118756,-1.3305025,-0.8309879,-1.1749635,-1.4189037,-0.5857059,-0.932441,-1.9056952,-1.6208599,-1.5500592,-0.20271271,-0.2992828,-0.020313952,-1.0473306,0.31639102,-0.8123382,-1.0317768,-1.0421584,-0.6334382,-0.66884905,-0.32367086,-1.4309431,-1.8983905,-1.2092304,-0.9643793,-1.2496188,-0.75426245,0.854426,-0.80098706,-1.5062307,-0.9656636,-1.871394,-2.0022871,-1.7496839,-0.40116206,0.7338649
12,-1.2293228,-1.7113837,-1.019138,-0.86843365,-1.1790359,-1.9666744,-1.4929479,-1.9004939,-1.4052296,-1.0433092,-1.8871983,-1.8518425,-2.2117214,-1.3305025,-0.8309879,-1.6309661,-1.6148851,-1.2054956,-1.6308953,-2.5788202,-2.2389817,-2.1841762,-0.7361604,-0.95368683,0.41493946,-1.0473306,-0.06634307,-0.8123382,-0.6024637,-1.994192,-1.4940897,-1.0982095,-0.9062713,-2.0385616,-2.0947754,-1.8490351,-1.3553438,-1.4883993,-1.5174334,0.059198745,-0.6366265,-1.7090437,-1.3117785,-2.132397,-2.0022871,-1.8956527,-1.2300152,-0.4497975
18,0.3407622,1.0050961,0.6345039,1.2705668,0.28863677,0.8590065,0.30819038,0.2847467,-0.3096758,-0.55879736,-0.50294405,0.056336265,0.48793173,-1.3305025,-0.6111497,0.8770478,0.1489478,-0.12086355,-0.23398685,-0.55944484,-0.38461593,-0.28182542,-0.3805286,0.6168828,-1.1809897,1.3485256,-0.83181125,0.7217544,0.2561624,-0.09012476,-0.28917763,-0.5257289,-0.12947072,0.08810262,-0.52369684,-0.089572266,0.2085142,-0.2944969,-0.18188426,-0.073339134,0.34953713,0.52189934,0.07268117,0.21662886,0.18631567,0.29387987,0.42769104,-0.4497975
19,0.1663083,0.6170276,0.4507659,0.8427667,0.105177686,1.9892789,0.5083168,-1.105861,0.34765643,0.41022635,-0.50294405,0.6015302,0.7878931,-2.6098306,-0.8309879,1.105049,-0.24301505,-0.275811,0.11524025,-0.11069479,-0.17857526,0.14091916,0.33073494,1.0095253,-1.1809897,0.8351279,-0.44907713,0.94091046,0.68547547,0.6715022,0.055082954,-0.0963685,-0.7120711,-0.8233248,-0.52369684,0.39028126,-1.3553438,-0.5332774,0.19970119,0.7218881,0.18517654,0.92752534,0.07268117,0.21662886,0.8597319,0.7317864,1.2565441,0.931142
20,-0.008145582,-0.15910953,-0.100448065,0.4149666,-0.99557686,0.10549163,-0.29218903,-1.3045192,-0.3096758,0.16797042,-0.73365307,0.056336265,0.18797024,-1.543724,0.2682028,0.19304404,-0.63497794,-0.12086355,-0.583214,-0.7838199,-0.5906566,-0.07045313,0.5085508,0.486002,-0.45556736,-0.020535074,-0.2577101,0.28344223,-0.17315069,0.2906887,0.055082954,-0.0963685,-0.7120711,-0.5195157,-0.7200817,-0.56942576,-1.3553438,-0.7720579,-0.372677,0.5893502,-0.6366265,0.11627336,-0.6195487,-0.82738256,-0.31874654,0.0019422122,1.0907735,0.5365879
21,-0.53150725,-0.5471781,-1.019138,-0.6545336,-1.5459541,-1.2131594,-1.092695,-1.9004939,-0.9670081,-0.55879736,-0.96436214,-0.48885766,-0.7119142,-1.543724,-0.39131162,-0.9469622,-1.2229222,-0.8956008,-0.932441,-1.6813202,-1.2087785,-0.91594225,-0.02489683,-0.2992828,-0.60065186,-0.876198,-0.2577101,-0.8123382,-1.2464334,-0.2805315,-0.11704733,-0.23948863,-0.9062713,-0.8233248,-1.3092362,-1.2092304,-1.3553438,-1.2496188,-1.1358479,0.3242745,-0.6366265,-0.49216565,-0.9656636,-1.2188869,-1.1605169,-1.0198395,0.2619204,-0.25252044
22,-0.880415,-1.129281,-1.202876,-1.2962338,-1.9128722,-1.2131594,-1.2928214,-1.9004939,-1.6243403,-1.0433092,-1.6564893,-1.0340515,-1.6117985,-1.3305025,-0.39131162,-1.1749635,-1.6148851,-1.360443,-0.932441,-1.9056952,-1.6208599,-1.5500592,-0.5583445,-0.5610444,0.56002396,-1.0473306,0.12502398,-1.0314941,-1.6757463,-1.0421584,-0.6334382,-0.66884905,-1.1004715,-1.2790385,-1.7020057,-1.6890839,-2.5282373,-1.4883993,-1.3266406,-0.073339134,-0.80098706,-1.3034177,-1.138721,-1.4798899,-1.6655791,-1.3117772,-0.5669327,-0.6470746
23,-1.2293228,-1.5173496,-1.3866138,-1.2962338,-2.4632494,-1.2131594,-0.8925685,-1.7018356,-1.4052296,-1.2855651,-1.8871983,-1.5792456,-1.6117985,-0.6908384,-0.6111497,-1.6309661,-1.2229222,-0.8956008,-0.932441,-1.6813202,-1.6208599,-1.5500592,-0.9139763,-1.0845675,-0.45556736,-0.876198,-0.06634307,-1.2506503,-1.890403,-1.6133786,-0.97769874,-0.8119692,-1.2946717,-1.127134,-1.8983905,-1.8490351,-2.1372728,-1.7271798,-1.1358479,-0.60349065,-1.1297082,-1.3034177,-1.138721,-1.871394,-2.0022871,-1.4577461,-0.5669327,-1.2389058
35,-1.2293228,-1.3233153,-1.937828,-1.937934,-1.7294133,-1.589917,-2.0933273,-1.105861,-1.1861188,-0.8010533,-0.73365307,-1.5792456,-1.6117985,-0.9040598,-1.050826,-1.1749635,-2.2028294,-1.5153905,-1.2816682,-1.6813202,-1.4148192,-2.1841762,0.15291905,-0.037521183,-1.4711587,-1.9029936,-0.6404442,-1.4698063,-1.2464334,-1.8037854,-1.149829,-1.2413297,-0.517871,-1.127134,-0.7200817,-0.729377,-0.9643793,-1.2496188,-0.372677,0.7218881,-0.6366265,-1.3034177,-1.138721,-0.82738256,-1.4972249,-1.1658084,0.096149795,-0.05524336
